beacon,address,cable,owner,location,checkerboardId,index,typ,service,characteristic
90,F6:56:9D:78:F0:2E,X,Goetz,Privat,X1,0,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
91,F6:56:9D:78:F0:2E,X,Goetz,Privat,X2,1,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
92,4D:FA:10:CC:26:0D,Y,Florian,Privat,Y1,0,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
93,4D:FA:10:CC:26:0D,Y,Florian,Privat,Y2,1,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
94,cc:a9:31:a9:cd:f6,,Baumhaus,North,,1,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
95,d8:d1:f6:c6:94:5f,,Baumhaus,North-West,,2,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
96,25:6b:08:a6:2e:c7,,Baumhaus,South-West,,3,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
97,6d:ef:89:e0:8a:db,,Baumhaus,South-East,,4,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
98,31:18:32:07:a7:4f,,Baumhaus,North-East,,5,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
50,cc:a9:31:a9:cd:f6,A,Baumhaus,,H6,1,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
32,cc:a9:31:a9:cd:f6,A,Baumhaus,,G7,2,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
33,cc:a9:31:a9:cd:f6,A,Baumhaus,,F8,3,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
39,cc:a9:31:a9:cd:f6,A,Baumhaus,,G9,4,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
26,cc:a9:31:a9:cd:f6,A,Baumhaus,,I9,1,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
40,cc:a9:31:a9:cd:f6,B,Baumhaus,,F6,2,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
42,cc:a9:31:a9:cd:f6,B,Baumhaus,,E7,3,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
31,cc:a9:31:a9:cd:f6,B,Baumhaus,,D8,4,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
34,cc:a9:31:a9:cd:f6,B,Baumhaus,,B8,5,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
37,d8:d1:f6:c6:94:5f,C,Baumhaus,,G5,1,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
38,d8:d1:f6:c6:94:5f,C,Baumhaus,,E5,2,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
49,d8:d1:f6:c6:94:5f,C,Baumhaus,,D6,3,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
45,d8:d1:f6:c6:94:5f,C,Baumhaus,,C7,4,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
41,d8:d1:f6:c6:94:5f,C,Baumhaus,,A7,5,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
35,d8:d1:f6:c6:94:5f,D,Baumhaus,,G3,1,floorsensor,00002011-0000-1000-8000-00805f9b34fb,00002014-0000-1000-8000-00805f9b34fb
